Section_num,content
36,"36. When an act, which would otherwise be a certain offence, is not that offence, byreason of the youth, the want of maturity of understanding, the unsoundness of mind or theintoxication of the person doing that act, or by reason of any misconception on the part ofthat person, every person has the same right of private defence against that act which hewould have if the act were that offence.Illustrations.(a) Z, a person of unsound mind, attempts to killA; Z is guilty of no offence. ButAhasthe same right of private defence which he would have if Z were sane.(b) A enters by night a house which he is legally entitled to enter. Z, in good faith,taking A for a house-breaker, attacks A. Here Z, by attacking A under this misconception,commits no offence. ButA has the same right of private defence against Z, which he wouldhave if Z were not acting under that misconception."
37,"37. (1) There is no right of private defence,––(a) against an act which does not reasonably cause the apprehension of deathor of grievous hurt, if done, or attempted to be done, by a public servant acting in goodfaith under colour of his office, though that act, may not be strictly justifiable by law;(b) against an act which does not reasonably cause the apprehension of deathor of grievous hurt, if done, or attempted to be done, by the direction of a publicservant acting in good faith under colour of his office, though that direction may notbe strictly justifiable by law;(c) in cases in which there is time to have recourse to the protection of the publicauthorities.(2) The right of private defence in no case extends to the inflicting of more harm thanit is necessary to inflict for the purpose of defence.Explanation 1.—A person is not deprived of the right of private defence against an actdone, or attempted to be done, by a public servant, as such, unless he knows or has reasonto believe, that the person doing the act is such public servant.Explanation 2.—A person is not deprived of the right of private defence against an actdone, or attempted to be done, by the direction of a public servant, unless he knows, or hasreason to believe, that the person doing the act is acting by such direction, or unless suchperson states the authority under which he acts, or if he has authority in writing, unless heproduces such authority, if demanded."
38,"38. The right of private defence of the body extends, under the restrictions specified insection 37, to the voluntary causing of death or of any other harm to the assailant, if theoffence which occasions the exercise of the right be of any of the descriptions hereinafterenumerated, namely:—(a) such an assault as may reasonably cause the apprehension that death willotherwise be the consequence of such assault;(b) such an assault as may reasonably cause the apprehension that grievoushurt will otherwise be the consequence of such assault;(c) an assault with the intention of committing rape;(d) an assault with the intention of gratifying unnatural lust;(e) an assault with the intention of kidnapping or abducting;Right ofprivatedefenceagainst act ofa person ofunsound mind,etc.Acts againstwhich there isno right ofprivatedefence.When right ofprivatedefence ofbody extendsto causingdeath.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY15_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(f) an assault with the intention of wrongfully confining a person, undercircumstances which may reasonably cause him to apprehend that he will be unable tohave recourse to the public authorities for his release;(g) an act of throwing or administering acid or an attempt to throw or administeracid which may reasonably cause the apprehension that grievous hurt will otherwisebe the consequence of such act."
39,"39. If the offence be not of any of the descriptions specified in section 38, the right ofprivate defence of the body does not extend to the voluntary causing of death to theassailant, but does extend, under the restrictions specified in section 37, to the voluntarycausing to the assailant of any harm other than death."
40,40. The right of private defence of the body commences as soon as a reasonableapprehension of danger to the body arises from an attempt or threat to commit the offencethough the offence may not have been committed; and it continues as long as suchapprehension of danger to the body continues.
41,"41. The right of private defence of property extends, under the restrictions specified insection 37, to the voluntary causing of death or of any other harm to the wrong-doer, if theoffence, the committing of which, or the attempting to commit which, occasions the exerciseof the right, be an offence of any of the descriptions hereinafter enumerated, namely:—(a) robbery;(b) house-breaking after sunset and before sunrise;(c) mischief by fire or any explosive substance committed on any building, tentor vessel, which building, tent or vessel is used as a human dwelling, or as a place forthe custody of property;(d) theft, mischief, or house-trespass, under such circumstances as mayreasonably cause apprehension that death or grievous hurt will be the consequence,if such right of private defence is not exercised."
42,"42. If the offence, the committing of which, or the attempting to commit which occasionsthe exercise of the right of private defence, be theft, mischief, or criminal trespass, not of anyof the descriptions specified in section 41, that right does not extend to the voluntarycausing of death, but does extend, subject to the restrictions specified in section 37, to thevoluntary causing to the wrong-doer of any harm other than death."
43,"43. The right of private defence of property,––(a) commences when a reasonable apprehension of danger to the propertycommences;(b) against theft continues till the offender has effected his retreat with theproperty or either the assistance of the public authorities is obtained, or the propertyhas been recovered;(c) against robbery continues as long as the offender causes or attempts tocause to any person death or hurt or wrongful restraint or as long as the fear of instantdeath or of instant hurt or of instant personal restraint continues;(d) against criminal trespass or mischief continues as long as the offendercontinues in the commission of criminal trespass or mischief;(e) against house-breaking after sunset and before sunrise continues as long asthe house-trespass which has been begun by such house-breaking continues."
44,"44. If in the exercise of the right of private defence against an assault which reasonablycauses the apprehension of death, the defender be so situated that he cannot effectuallyWhen suchright extendsto causing anyharm otherthan death.Commencementandcontinuance ofright of privatedefence ofbody.When right ofprivatedefence ofpropertyextends tocausing death.When suchright extendsto causing anyharm otherthan death.Commencementandcontinuanceof right ofprivatedefence ofproperty.Right of privatedefence againstdeadly assaultwhen there isrisk of harm toinnocent person.16THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________exercise that right without risk of harm to an innocent person, his right of private defenceextends to the running of that risk.Illustration.A is attacked by a mob who attempt to murder him. He cannot effectually exercise hisright of private defence without firing on the mob, and he cannot fire without risk of harmingyoung children who are mingled with the mob.Acommits no offence if by so firing he harmsany of the children.CHAPTERIVOF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPTof abetment"
45,"45. A person abets the doing of a thing, who—(a) instigates any person to do that thing; or(b) engages with one or more other person or persons in any conspiracy for thedoing of that thing, if an act or illegal omission takes place in pursuance of thatconspiracy, and in order to the doing of that thing; or(c) intentionally aids, by any act or illegal omission, the doing of that thing.Explanation 1.—A person who, by wilful misrepresentation, or by wilful concealmentof a material fact which he is bound to disclose, voluntarily causes or procures, or attemptsto cause or procure, a thing to be done, is said to instigate the doing of that thing.Illustration.A, a public officer, is authorised by a warrant from a Court to apprehend Z. B, knowingthat fact and also that C is not Z, wilfully represents toAthat C is Z, and thereby intentionallycauses A to apprehend C. Here B abets by instigation the apprehension of C.Explanation 2.—Whoever, either prior to or at the time of the commission of an act,does anything in order to facilitate the commission of that act, and thereby facilitates thecommission thereof, is said to aid the doing of that act."
46,"46. A person abets an offence, who abets either the commission of an offence, or thecommission of an act which would be an offence, if committed by a person capable by law ofcommitting an offence with the same intention or knowledge as that of the abettor.Explanation 1.—The abetment of the illegal omission of an act may amount to anoffence although the abettor may not himself be bound to do that act.Explanation 2.—To constitute the offence of abetment it is not necessary that the actabetted should be committed, or that the effect requisite to constitute the offence should becaused.Illustrations.(a) Ainstigates B to murder C. B refuses to do so. A is guilty of abetting B to commitmurder.(b) A instigates B to murder D. B in pursuance of the instigation stabs D. D recoversfrom the wound.Ais guilty of instigating B to commit murder.Explanation 3.—It is not necessary that the person abetted should be capable by lawof committing an offence, or that he should have the same guilty intention or knowledge asthat of the abettor, or any guilty intention or knowledge.Abetment of athing.Abettor.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY17_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Illustrations.(a) A, with a guilty intention, abets a child or a person of unsound mind to commit anact which would be an offence, if committed by a person capable by law of committing anoffence, and having the same intention asA. HereA, whether the act be committed or not, isguilty of abetting an offence.(b) A, with the intention of murdering Z, instigates B, a child under seven years of age,to do an act which causes Z’s death. B, in consequence of the abetment, does the act in theabsence of A and thereby causes Z’s death. Here, though B was not capable by law ofcommitting an offence, Ais liable to be punished in the same manner as if B had been capableby law of committing an offence, and had committed murder, and he is therefore subject tothe punishment of death.(c)Ainstigates B to set fire to a dwelling-house. B, in consequence of his unsoundnessof mind, being incapable of knowing the nature of the act, or that he is doing what is wrongor contrary to law, sets fire to the house in consequence ofA’s instigation. B has committedno offence, but A is guilty of abetting the offence of setting fire to a dwelling-house, and isliable to the punishment provided for that offence.(d) A, intending to cause a theft to be committed, instigates B to take property belongingto Z out of Z’s possession. Ainduces B to believe that the property belongs to A. B takes theproperty out of Z’s possession, in good faith, believing it to beA’s property. B, acting underthis misconception, does not take dishonestly, and therefore does not commit theft. But A isguilty of abetting theft, and is liable to the same punishment as if B had committed theft.Explanation 4.—The abetment of an offence being an offence, the abetment of suchan abetment is also an offence.Illustration.A instigates B to instigate C to murder Z. B accordingly instigates C to murder Z, andC commits that offence in consequence of B’s instigation. B is liable to be punished for hisoffence with the punishment for murder; and, as A instigated B to commit the offence, A isalso liable to the same punishment.Explanation 5.—It is not necessary to the commission of the offence of abetment byconspiracy that the abettor should concert the offence with the person who commits it. It issufficient if he engages in the conspiracy in pursuance of which the offence is committed.Illustration.Aconcerts with B a plan for poisoning Z. It is agreed thatAshall administer the poison.B then explains the plan to C mentioning that a third person is to administer the poison, butwithout mentioningA’s name. C agrees to procure the poison, and procures and delivers it toB for the purpose of its being used in the manner explained.Aadministers the poison; Z diesin consequence. Here, though A and C have not conspired together, yet C has been engagedin the conspiracy in pursuance of which Z has been murdered. C has therefore committed theoffence defined in this section and is liable to the punishment for murder."
47,"47. A person abets an offence within the meaning of this Sanhita who, in India, abetsthe commission of any act without and beyond India which would constitute an offence ifcommitted in India.Illustration.A, in India, instigates B, a foreigner in country X, to commit a murder in that country,A is guilty of abetting murder."
48,"48. A person abets an offence within the meaning of this Sanhita who, without andbeyond India, abets the commission of any act in India which would constitute an offence ifcommitted in India.Abetment inIndia ofoffencesoutside India.Abetmentoutside Indiafor offence inIndia.18THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Illustration.A, in country X, instigates B, to commit a murder in India,Ais guilty of abetting murder."
49,"49. Whoever abets any offence shall, if the act abetted is committed in consequence ofthe abetment, and no express provision is made by this Sanhita for the punishment of suchabetment, be punished with the punishment provided for the offence.Explanation.—An act or offence is said to be committed in consequence of abetment,when it is committed in consequence of the instigation, or in pursuance of the conspiracy, orwith the aid which constitutes the abetment.Illustrations.(a) Ainstigates B to give false evidence. B, in consequence of the instigation, commitsthat offence. A is guilty of abetting that offence, and is liable to the same punishment as B.(b) A and B conspire to poison Z. A, in pursuance of the conspiracy, procures thepoison and delivers it to B in order that he may administer it to Z. B, in pursuance of theconspiracy, administers the poison to Z in A’s absence and thereby causes Z’s death. HereB is guilty of murder. A is guilty of abetting that offence by conspiracy, and is liable to thepunishment for murder."
50,"50. Whoever abets the commission of an offence shall, if the person abetted does theact with a different intention or knowledge from that of the abettor, be punished with thepunishment provided for the offence which would have been committed if the act had beendone with the intention or knowledge of the abettor and with no other."
51,"51. When an act is abetted and a different act is done, the abettor is liable for the actdone, in the same manner and to the same extent as if he had directly abetted it:Provided that the act done was a probable consequence of the abetment, and wascommitted under the influence of the instigation, or with the aid or in pursuance of theconspiracy which constituted the abetment.Illustrations.(a) A instigates a child to put poison into the food of Z, and gives him poison for thatpurpose. The child, in consequence of the instigation, by mistake puts the poison into thefood of Y, which is by the side of that of Z. Here, if the child was acting under the influenceofA’s instigation, and the act done was under the circumstances a probable consequence ofthe abetment,Ais liable in the same manner and to the same extent as if he had instigated thechild to put the poison into the food of Y.(b) A instigates B to burn Z’s house, B sets fire to the house and at the same timecommits theft of property there.A, though guilty of abetting the burning of the house, is notguilty of abetting the theft; for the theft was a distinct act, and not a probable consequenceof the burning.(c)Ainstigates B and C to break into an inhabited house at midnight for the purpose ofrobbery, and provides them with arms for that purpose. B and C break into the house, andbeing resisted by Z, one of the inmates, murder Z. Here, if that murder was the probableconsequence of the abetment, A is liable to the punishment provided for murder."
52,"52. If the act for which the abettor is liable under section 51 is committed in addition tothe act abetted, and constitute a distinct offence, the abettor is liable to punishment for eachof the offences.Punishment ofabetment ifact abetted iscommitted inconsequenceand where noexpressprovision ismade for itspunishment.Punishment ofabetment ifperson abetteddoes act withdifferentintentionfrom that ofabettor.Liability ofabettor whenone actabetted anddifferent actdone.Abettor whenliable tocumulativepunishmentfor act abettedand for actdone.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY19_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Illustration.A instigates B to resist by force a distress made by a public servant. B, in consequence,resists that distress. In offering the resistance, B voluntarily causes grievous hurt to theofficer executing the distress.As B has committed both the offence of resisting the distress,and the offence of voluntarily causing grievous hurt, B is liable to punishment for both theseoffences; and, ifA knew that B was likely voluntarily to cause grievous hurt in resisting thedistress, A will also be liable to punishment for each of the offences."
53,"53. When an act is abetted with the intention on the part of the abettor of causing aparticular effect, and an act for which the abettor is liable in consequence of the abetment,causes a different effect from that intended by the abettor, the abettor is liable for the effectcaused, in the same manner and to the same extent as if he had abetted the act with theintention of causing that effect, provided he knew that the act abetted was likely to causethat effect.Illustration.A instigates B to cause grievous hurt to Z. B, in consequence of the instigation,causes grievous hurt to Z. Z dies in consequence. Here, if A knew that the grievous hurtabetted was likely to cause death, A is liable to be punished with the punishment providedfor murder."
54,"54. Whenever any person, who is absent would be liable to be punished as an abettor,is present when the act or offence for which he would be punishable in consequence of theabetment is committed, he shall be deemed to have committed such act or offence."
55,"55. Whoever abets the commission of an offence punishable with death orimprisonment for life, shall, if that offence be not committed in consequence of the abetment,and no express provision is made under this Sanhita for the punishment of such abetment, bepunished with imprisonment of either description for a term which may extend to sevenyears, and shall also be liable to fine; and if any act for which the abettor is liable in consequenceof the abetment, and which causes hurt to any person, is done, the abettor shall be liable toimprisonment of either description for a term which may extend to fourteen years, and shallalso be liable to fine.Illustration.A instigates B to murder Z. The offence is not committed. If B had murdered Z, hewould have been subject to the punishment of death or imprisonment for life.Therefore, Aisliable to imprisonment for a term which may extend to seven years and also to a fine; and ifany hurt be done to Z in consequence of the abetment, he will be liable to imprisonment fora term which may extend to fourteen years, and to fine."
56,"56. Whoever abets an offence punishable with imprisonment shall, if that offence benot committed in consequence of the abetment, and no express provision is made under thisSanhita for the punishment of such abetment, be punished with imprisonment of anydescription provided for that offence for a term which may extend to one-fourth part of thelongest term provided for that offence; or with such fine as is provided for that offence, orwith both; and if the abettor or the person abetted is a public servant, whose duty it is toprevent the commission of such offence, the abettor shall be punished with imprisonment ofany description provided for that offence, for a term which may extend to one-half of thelongest term provided for that offence, or with such fine as is provided for the offence, orwith both.Illustrations.(a)Ainstigates B to give false evidence. Here, if B does not give false evidence,Ahasnevertheless committed the offence defined in this section, and is punishable accordingly.Liability ofabettor for aneffect causedby act abetteddifferent fromthat intendedby abettor.Abettorpresent whenoffence iscommitted.Abetment ofoffencepunishablewith death orimprisonmentfor life.Abetment ofoffencepunishablewithimprisonment.20THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(b) A, a police officer, whose duty it is to prevent robbery, abets the commission ofrobbery. Here, though the robbery be not committed, A is liable to one-half of the longestterm of imprisonment provided for that offence, and also to fine.(c) B abets the commission of a robbery by A, a police officer, whose duty it is toprevent that offence. Here, though the robbery be not committed, B is liable to one-half of thelongest term of imprisonment provided for the offence of robbery, and also to fine."
57,"57. Whoever abets the commission of an offence by the public generally or by anynumber or class of persons exceeding ten, shall be punished with imprisonment of eitherdescription for a term which may extend to seven years and with fine.Illustration.A affixes in a public place a placard instigating a sect consisting of more than tenmembers to meet at a certain time and place, for the purpose of attacking the members of anadverse sect, while engaged in a procession. A has committed the offence defined in thissection."
58,"58. Whoever intending to facilitate or knowing it to be likely that he will therebyfacilitate the commission of an offence punishable with death or imprisonment for life,voluntarily conceals by any act or omission, or by the use of encryption or any otherinformation hiding tool, the existence of a design to commit such offence or makes anyrepresentation which he knows to be false respecting such design shall,––(a) if that offence be committed, be punished with imprisonment of eitherdescription for a term which may extend to seven years; or(b) if the offence be not committed, with imprisonment of either description, fora term which may extend to three years,and shall also be liable to fine.Illustration.A, knowing that dacoity is about to be committed at B, falsely informs the Magistratethat a dacoity is about to be committed at C, a place in an opposite direction, and therebymisleads the Magistrate with intent to facilitate the commission of the offence. The dacoityis committed at B in pursuance of the design. A is punishable under this section."
59,"59. Whoever, being a public servant, intending to facilitate or knowing it to be likelythat he will thereby facilitate the commission of an offence which it is his duty as such publicservant to prevent, voluntarily conceals, by any act or omission or by the use of encryptionor any other information hiding tool, the existence of a design to commit such offence, ormakes any representation which he knows to be false respecting such design shall,––(a) if the offence be committed, be punished with imprisonment of any descriptionprovided for the offence, for a term which may extend to one-half of the longest term ofsuch imprisonment, or with such fine as is provided for that offence, or with both; or(b) if the offence be punishable with death or imprisonment for life, withimprisonment of either description for a term which may extend to ten years; or(c) if the offence be not committed, shall be punished with imprisonment of anydescription provided for the offence for a term which may extend to one-fourth part ofthe longest term of such imprisonment or with such fine as is provided for the offence,or with both.Illustration.A, an officer of police, being legally bound to give information of all designs to commitrobbery which may come to his knowledge, and knowing that B designs to commit robbery,omits to give such information, with intent to so facilitate the commission of that offence.Abettingcommission ofoffence bypublic or bymore than tenpersons.Concealingdesign tocommitoffencepunishablewith death orimprisonmentfor life.Public servantconcealingdesign tocommitoffence whichit is his dutyto prevent.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY21_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Here A has by an illegal omission concealed the existence of B’s design, and is liable topunishment according to the provision of this section."
60,"60. Whoever, intending to facilitate or knowing it to be likely that he will therebyfacilitate the commission of an offence punishable with imprisonment, voluntarily conceals,by any act or illegal omission, the existence of a design to commit such offence, or makes anyrepresentation which he knows to be false respecting such design shall,––(a) if the offence be committed, be punished with imprisonment of the descriptionprovided for the offence, for a term which may extend to one-fourth; and(b) if the offence be not committed, to one-eighth,of the longest term of such imprisonment, or with such fine as is provided for the offence, orwith both.Of criminal conspiracy"
61,"61. (1) When two or more persons agree with the common object to do, or cause to bedone––(a) an illegal act; or(b) an act which is not illegal by illegal means, such an agreement is designateda criminal conspiracy:Provided that no agreement except an agreement to commit an offence shall amount toa criminal conspiracy unless some act besides the agreement is done by one or more partiesto such agreement in pursuance thereof.Explanation.—It is immaterial whether the illegal act is the ultimate object of suchagreement, or is merely incidental to that object.(2) Whoever is a party to a criminal conspiracy,––(a) to commit an offence punishable with death, imprisonment for life or rigorousimprisonment for a term of two years or upwards, shall, where no express provision ismade in this Sanhita for the punishment of such a conspiracy, be punished in the samemanner as if he had abetted such offence;(b) other than a criminal conspiracy to commit an offence punishable as aforesaidshall be punished with imprisonment of either description for a term not exceeding sixmonths, or with fine or with both.Of attempt"
62,"62. Whoever attempts to commit an offence punishable by this Sanhita withimprisonment for life or imprisonment, or to cause such an offence to be committed, and insuch attempt does any act towards the commission of the offence, shall, where no expressprovision is made by this Sanhita for the punishment of such attempt, be punished withimprisonment of any description provided for the offence, for a term which may extend toone-half of the imprisonment for life or, as the case may be, one-half of the longest term ofimprisonment provided for that offence, or with such fine as is provided for the offence, orwith both.Illustrations. (a)Amakes an attempt to steal some jewels by breaking open a box, and finds after soopening the box, that there is no jewel in it. He has done an act towards the commission oftheft, and therefore is guilty under this section.(b)Amakes an attempt to pick the pocket of Z by thrusting his hand into Z’s pocket.Afails in the attempt in consequence of Z’s having nothing in his pocket.Ais guilty under thissection.Concealingdesign tocommitoffencepunishablewithimprisonment.Criminalconspiracy.Punishment forattempting tocommitoffencespunishable withimprisonmentfor life orotherimprisonment.22THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________CHAPTERVOF OFFENCES AGAINST WOMAN AND CHILDOf sexual offences"
63,"63. Aman is said to commit “rape” if he—(a) penetrates his penis, to any extent, into the vagina, mouth, urethra or anus ofa woman or makes her to do so with him or any other person; or(b) inserts, to any extent, any object or a part of the body, not being the penis,into the vagina, the urethra or anus of a woman or makes her to do so with him or anyother person; or(c) manipulates any part of the body of a woman so as to cause penetration intothe vagina, urethra, anus or any part of body of such woman or makes her to do so withhim or any other person; or(d) applies his mouth to the vagina, anus, urethra of a woman or makes her to doso with him or any other person,under the circumstances falling under any of the following seven descriptions:—(i) against her will;(ii) without her consent;(iii) with her consent, when her consent has been obtained by putting her orany person in whom she is interested, in fear of death or of hurt;(iv) with her consent, when the man knows that he is not her husband and thather consent is given because she believes that he is another man to whom she is orbelieves herself to be lawfully married;(v) with her consent when, at the time of giving such consent, by reason ofunsoundness of mind or intoxication or the administration by him personally or throughanother of any stupefying or unwholesome substance, she is unable to understandthe nature and consequences of that to which she gives consent;(vi) with or without her consent, when she is under eighteen years of age;(vii) when she is unable to communicate consent.Explanation 1.—For the purposes of this section, “vagina” shall also include labiamajora.Explanation 2.—Consent means an unequivocal voluntary agreement when the womanby words, gestures or any form of verbal or non-verbal communication, communicateswillingness to participate in the specific sexual act:Provided that a woman who does not physically resist to the act of penetration shallnot by the reason only of that fact, be regarded as consenting to the sexual activity.Exception 1.––A medical procedure or intervention shall not constitute rape.Exception 2.––Sexual intercourse or sexual acts by a man with his own wife, the wifenot being under eighteen years of age, is not rape."
64,"64. (1) Whoever, except in the cases provided for in sub-section (2), commits rape,shall be punished with rigorous imprisonment of either description for a term which shall notbe less than ten years, but which may extend to imprisonment for life, and shall also be liableto fine.(2) Whoever,—(a) being a police officer, commits rape,—Rape.Punishmentfor rape.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY23_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(i) within the limits of the police station to which such police officer isappointed; or(ii) in the premises of any station house; or(iii) on a woman in such police officer’s custody or in the custody of apolice officer subordinate to such police officer; or(b) being a public servant, commits rape on a woman in such public servant’scustody or in the custody of a public servant subordinate to such public servant; or(c) being a member of the armed forces deployed in an area by the CentralGovernment or a State Government commits rape in such area; or(d) being on the management or on the staff of a jail, remand home or other placeof custody established by or under any law for the time being in force or of a women’sor children’s institution, commits rape on any inmate of such jail, remand home, placeor institution; or(e) being on the management or on the staff of a hospital, commits rape on awoman in that hospital; or(f) being a relative, guardian or teacher of, or a person in a position of trust orauthority towards the woman, commits rape on such woman; or(g) commits rape during communal or sectarian violence; or(h) commits rape on a woman knowing her to be pregnant; or(i) commits rape, on a woman incapable of giving consent; or(j) being in a position of control or dominance over a woman, commits rape onsuch woman; or(k) commits rape on a woman suffering from mental or physical disability; or(l) while committing rape causes grievous bodily harm or maims or disfigures orendangers the life of a woman; or(m) commits rape repeatedly on the same woman,shall be punished with rigorous imprisonment for a term which shall not be less than tenyears, but which may extend to imprisonment for life, which shall mean imprisonment for theremainder of that person’s natural life, and shall also be liable to fine.Explanation.—For the purposes of this sub-section,—(a) “armed forces” means the naval, army and air forces and includes any memberof the Armed Forces constituted under any law for the time being in force, includingthe paramilitary forces and any auxiliary forces that are under the control of the CentralGovernment or the State Government;(b) “hospital” means the precincts of the hospital and includes the precincts ofany institution for the reception and treatment of persons during convalescence or ofpersons requiring medical attention or rehabilitation;(c) “police officer” shall have the same meaning as assigned to the expression“police” under the PoliceAct, 1861;(d) “women’s or children’s institution” means an institution, whether called anorphanage or a home for neglected women or children or a widow’s home or aninstitution called by any other name, which is established and maintained for thereception and care of women or children.5 of 1861.24THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
65,"65. (1) Whoever, commits rape on a woman under sixteen years of age shall bepunished with rigorous imprisonment for a term which shall not be less than twenty years,but which may extend to imprisonment for life, which shall mean imprisonment for theremainder of that person’s natural life, and shall also be liable to fine:Provided that such fine shall be just and reasonable to meet the medical expenses andrehabilitation of the victim:Provided further that any fine imposed under this sub-section shall be paid to thevictim.(2) Whoever, commits rape on a woman under twelve years of age shall be punishedwith rigorous imprisonment for a term which shall not be less than twenty years, but whichmay extend to imprisonment for life, which shall mean imprisonment for the remainder of thatperson’s natural life, and with fine or with death:Provided that such fine shall be just and reasonable to meet the medical expenses andrehabilitation of the victim:Provided further that any fine imposed under this sub-section shall be paid to thevictim."
66,"66. Whoever, commits an offence punishable under sub-section (1) or sub-section (2)of section 64 and in the course of such commission inflicts an injury which causes the deathof the woman or causes the woman to be in a persistent vegetative state, shall be punishedwith rigorous imprisonment for a term which shall not be less than twenty years, but whichmay extend to imprisonment for life, which shall mean imprisonment for the remainder of thatperson’s natural life, or with death."
67,"67. Whoever has sexual intercourse with his own wife, who is living separately, whetherunder a decree of separation or otherwise, without her consent, shall be punished withimprisonment of either description for a term which shall not be less than two years butwhich may extend to seven years, and shall also be liable to fine.Explanation.—In this section, “sexual intercourse” shall mean any of the acts mentionedin clauses (a) to (d) of section 63."
68,"68. Whoever, being—(a) in a position of authority or in a fiduciary relationship; or(b) a public servant; or(c) superintendent or manager of a jail, remand home or other place of custodyestablished by or under any law for the time being in force, or a women’s or children’sinstitution; or(d) on the management of a hospital or being on the staff of a hospital,abuses such position or fiduciary relationship to induce or seduce any woman either in hiscustody or under his charge or present in the premises to have sexual intercourse with him,such sexual intercourse not amounting to the offence of rape, shall be punished with rigorousimprisonment of either description for a term which shall not be less than five years, butwhich may extend to ten years, and shall also be liable to fine.Explanation 1.—In this section, “sexual intercourse” shall mean any of the actsmentioned in clauses (a) to (d) of section 63.Explanation 2.—For the purposes of this section, Explanation 1 to section 63 shallalso be applicable.Explanation 3.—“Superintendent”, in relation to a jail, remand home or other place ofcustody or a women’s or children’s institution, includes a person holding any other office insuch jail, remand home, place or institution by virtue of which such person can exercise anyauthority or control over its inmates.Punishmentfor rape incertain cases.Punishment forcausing deathor resulting inpersistentvegetativestate of victim.Sexualintercourse byhusband uponhis wife duringseparation.Sexualintercourse bya person inauthority.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY25_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Explanation 4.—The expressions “hospital” and “women’s or children’s institution”shall respectively have the same meanings as in clauses (b) and (d) of the Explanation tosub-section (2) of section 64."
69,"69. Whoever, by deceitful means or by making promise to marry to a woman withoutany intention of fulfilling the same, has sexual intercourse with her, such sexual intercoursenot amounting to the offence of rape, shall be punished with imprisonment of eitherdescription for a term which may extend to ten years and shall also be liable to fine.Explanation.—“deceitful means” shall include inducement for, or false promise ofemployment or promotion, or marrying by suppressing identity."
70,"70. (1) Where a woman is raped by one or more persons constituting a group or actingin furtherance of a common intention, each of those persons shall be deemed to have committedthe offence of rape and shall be punished with rigorous imprisonment for a term which shallnot be less than twenty years, but which may extend to imprisonment for life which shallmean imprisonment for the remainder of that person’s natural life, and with fine:Provided that such fine shall be just and reasonable to meet the medical expenses andrehabilitation of the victim:Provided further that any fine imposed under this sub-section shall be paid to thevictim.(2) Where a woman under eighteen years of age is raped by one or more personsconstituting a group or acting in furtherance of a common intention, each of those personsshall be deemed to have committed the offence of rape and shall be punished withimprisonment for life, which shall mean imprisonment for the remainder of that person’snatural life, and with fine, or with death:Provided that such fine shall be just and reasonable to meet the medical expenses andrehabilitation of the victim:Provided further that any fine imposed under this sub-section shall be paid to thevictim."
71,"71. Whoever has been previously convicted of an offence punishable undersection 64 or section 65 or section 66 or section 70 and is subsequently convicted of anoffence punishable under any of the said sections shall be punished with imprisonment forlife which shall mean imprisonment for the remainder of that person’s natural life, or withdeath."
